Scenario_SplHitLine(Clone)_1
time;Consigne;PlayerMvt;Hit;BPM;Ax /;Ay /;Az /;Gx /;Gy /;Gz /;Mx /;My /;Mz /;Gesture /;probability/
7,003211;47,69742;0; ;0;0;0;0;0;0;0;0;0;0;0;0
7,023211;47,69742;0; ;0;0;0;0;0;0;0;0;0;0;0;0
7,043211;47,69742;0; ;0;0;0;0;0;0;0;0;0;0;0;0
7,063211;47,69742;0; ;0;0;0;0;0;0;0;0;0;0;0;0
7,08321;47,69742;0; ;0;0;0;0;0;0;0;0;0;0;0;0
7,103211;47,69742;0; ;0;0;0;0;0;0;0;0;0;0;0;0
7,12321;47,69742;0; ;0;0;0;0;0;0;0;0;0;0;0;0
7,143211;47,69742;0; ;0;0;0;0;0;0;0;0;0;0;0;0
7,16321;47,69742;0; ;0;0;0;0;0;0;0;0;0;0;0;0
7,183211;47,69742;0; ;0;0;0;0;0;0;0;0;0;0;0;0
7,203211;47,69742;0; ;0;0;0;0;0;0;0;0;0;0;0;0
7,223211;47,69742;0; ;0;0;0;0;0;0;0;0;0;0;0;0
7,243211;47,69742;0; ;0;0;0;0;0;0;0;0;0;0;0;0
7,263211;47,69742;0; ;0;0;0;0;0;0;0;0;0;0;0;0
7,283211;47,69742;0; ;0;0;0;0;0;0;0;0;0;0;0;0
7,303211;47,69742;0; ;0;0;0;0;0;0;0;0;0;0;0;0
7,323211;47,69742;0; ;0;0;0;0;0;0;0;0;0;0;0;0
7,343211;47,69742;0; ;0;0;0;0;0;0;0;0;0;0;0;0
7,363211;47,69742;0; ;0;0;0;0;0;0;0;0;0;0;0;0
7,383211;47,69742;0; ;0;0;0;0;0;0;0;0;0;0;0;0
7,403211;47,69742;0; ;0;0;0;0;0;0;0;0;0;0;0;0
7,423211;47,69742;0; ;0;0;0;0;0;0;0;0;0;0;0;0
7,443211;47,69742;0; ;0;0;0;0;0;0;0;0;0;0;0;0
7,463211;47,69742;0;True;0;0;0;0;0;0;0;0;0;0;0;0
7,483211;46,79742;0; ;0;0;0;0;0;0;0;0;0;0;0;0
7,503211;45,89728;0; ;0;0;0;0;0;0;0;0;0;0;0;0
7,523211;44,99725;0; ;0;0;0;0;0;0;0;0;0;0;0;0
7,543211;44,09709;0; ;0;0;0;0;0;0;0;0;0;0;0;0
7,563211;43,19709;0; ;0;0;0;0;0;0;0;0;0;0;0;0
7,58321;42,29709;0; ;0;0;0;0;0;0;0;0;0;0;0;0
7,603211;41,39703;0; ;0;0;0;0;0;0;0;0;0;0;0;0
7,62321;40,49703;0; ;0;0;0;0;0;0;0;0;0;0;0;0
7,643211;39,59703;0; ;0;0;0;0;0;0;0;0;0;0;0;0
7,66321;38,69703;0; ;0;0;0;0;0;0;0;0;0;0;0;0
7,683211;37,79704;0; ;0;0;0;0;0;0;0;0;0;0;0;0
7,70321;36,89698;0; ;0;0;0;0;0;0;0;0;0;0;0;0
7,723211;35,99693;0; ;0;0;0;0;0;0;0;0;0;0;0;0
7,743211;35,09692;0; ;0;0;0;0;0;0;0;0;0;0;0;0
7,763211;34,19692;0; ;0;0;0;0;0;0;0;0;0;0;0;0
7,783211;33,29692;0; ;0;0;0;0;0;0;0;0;0;0;0;0
7,803211;32,39692;0; ;0;0;0;0;0;0;0;0;0;0;0;0
7,823211;31,49692;0; ;0;0;0;0;0;0;0;0;0;0;0;0
7,843211;30,59692;0; ;0;0;0;0;0;0;0;0;0;0;0;0
7,863211;29,69692;0; ;0;0;0;0;0;0;0;0;0;0;0;0
7,883211;28,79692;0; ;0;0;0;0;0;0;0;0;0;0;0;0
7,903211;27,89692;0; ;0;0;0;0;0;0;0;0;0;0;0;0
7,923211;26,99692;0; ;0;0;0;0;0;0;0;0;0;0;0;0
7,943211;26,09692;0; ;0;0;0;0;0;0;0;0;0;0;0;0
7,963211;25,19692;0; ;0;0;0;0;0;0;0;0;0;0;0;0
7,983211;24,29692;0; ;0;0;0;0;0;0;0;0;0;0;0;0
8,00321;23,39692;0; ;0;0;0;0;0;0;0;0;0;0;0;0
8,023211;22,49692;0; ;0;0;0;0;0;0;0;0;0;0;0;0
8,043211;21,59692;0; ;0;0;0;0;0;0;0;0;0;0;0;0
8,063211;20,69692;0; ;0;0;0;0;0;0;0;0;0;0;0;0
8,08321;19,79692;0; ;0;0;0;0;0;0;0;0;0;0;0;0
8,10321;18,89692;0; ;0;0;0;0;0;0;0;0;0;0;0;0
8,123211;17,99692;0; ;0;0;0;0;0;0;0;0;0;0;0;0
8,143211;17,09692;0; ;0;0;0;0;0;0;0;0;0;0;0;0
8,16321;16,19692;0; ;0;0;0;0;0;0;0;0;0;0;0;0
8,18321;15,29692;0; ;0;0;0;0;0;0;0;0;0;0;0;0
8,203211;14,39692;0; ;0;0;0;0;0;0;0;0;0;0;0;0
8,223211;13,49692;0; ;0;0;0;0;0;0;0;0;0;0;0;0
8,243212;12,59692;0; ;0;0;0;0;0;0;0;0;0;0;0;0
8,26321;11,69692;0; ;0;0;0;0;0;0;0;0;0;0;0;0
8,283211;10,79692;0; ;0;0;0;0;0;0;0;0;0;0;0;0
8,303211;9,896924;0; ;0;0;0;0;0;0;0;0;0;0;0;0
8,323212;8,996923;0; ;0;0;0;0;0;0;0;0;0;0;0;0
8,34321;8,096924;0; ;0;0;0;0;0;0;0;0;0;0;0;0
8,363211;7,196924;0; ;0;0;0;0;0;0;0;0;0;0;0;0
8,383211;6,296924;0; ;0;0;0;0;0;0;0;0;0;0;0;0
8,403212;5,396924;0; ;0;0;0;0;0;0;0;0;0;0;0;0
8,42321;4,496924;0; ;0;0;0;0;0;0;0;0;0;0;0;0
8,443211;3,596924;0; ;0;0;0;0;0;0;0;0;0;0;0;0
8,463211;3,596924;0; ;0;0;0;0;0;0;0;0;0;0;0;0
8,483212;3,596924;0; ;0;0;0;0;0;0;0;0;0;0;0;0
8,50321;3,596924;0; ;0;0;0;0;0;0;0;0;0;0;0;0
8,523211;3,596924;0; ;0;0;0;0;0;0;0;0;0;0;0;0
8,543211;3,596924;0; ;0;0;0;0;0;0;0;0;0;0;0;0
8,563211;3,596979;0; ;0;0;0;0;0;0;0;0;0;0;0;0
8,58321;3,597034;0; ;0;0;0;0;0;0;0;0;0;0;0;0
8,60321;3,597034;0; ;0;0;0;0;0;0;0;0;0;0;0;0
8,623211;3,597034;0; ;0;0;0;0;0;0;0;0;0;0;0;0
8,643211;3,597034;0; ;0;0;0;0;0;0;0;0;0;0;0;0
8,66321;3,597034;0; ;0;0;0;0;0;0;0;0;0;0;0;0
8,68321;3,597226;0; ;0;0;0;0;0;0;0;0;0;0;0;0
8,703211;3,597336;0; ;0;0;0;0;0;0;0;0;0;0;0;0
8,723211;3,597308;0; ;0;0;0;0;0;0;0;0;0;0;0;0
8,743212;3,597418;0; ;0;0;0;0;0;0;0;0;0;0;0;0
8,76321;3,597418;0; ;0;0;0;0;0;0;0;0;0;0;0;0
